,Power,Year
0,10627.315021188986,2014
1,42171.31606817527,2014
2,41821.6282914581,2014
3,42111.40936472492,2014
4,42123.43056150401,2014
5,41819.28608477735,2014
6,42981.243754782015,2014
7,43271.51588479499,2014
8,41868.900517067996,2014
9,42171.33396143912,2014
10,42252.518861446384,2014
11,42054.08294694538,2014
12,42184.88294367395,2014
13,42281.92856593106,2014
14,42384.795152552964,2014
15,42606.11519699684,2014
16,42729.37203586615,2014
17,42682.1371692611,2014
18,42401.08349376995,2014
19,42142.55692033594,2014
20,42620.12026143029,2014
21,42008.38545363913,2014
22,41987.6279480953,2014
23,31414.939615791736,2014
0,92314.90862232326,2015
1,365701.98705387657,2015
2,367874.1854608944,2015
3,369144.39396775136,2015
4,370085.0848701162,2015
5,369919.5403801639,2015
6,366903.76638439944,2015
7,366430.25403014256,2015
8,367272.49412664265,2015
9,368284.0187521442,2015
10,369031.6928489722,2015
11,368476.01120867894,2015
12,368224.3622257618,2015
13,367294.65624891326,2015
14,368155.97044878465,2015
15,367033.6922320241,2015
16,367998.7287710099,2015
17,367608.44200549694,2015
18,366800.62119884044,2015
19,367185.77045211464,2015
20,366892.4585465962,2015
21,367379.5016610027,2015
22,368066.0741933766,2015
23,275979.0820033149,2015
0,56784.06269989975,2016
1,2729758.0461504725,2016
2,2739185.3869665116,2016
3,2736936.9744669045,2016
4,2731615.187199854,2016
5,2713734.737150334,2016
6,2711702.5560665093,2016
7,2711752.2913829596,2016
8,2742213.8340174328,2016
9,2746919.5179496356,2016
10,2731934.117449211,2016
11,2742625.952749844,2016
12,2734063.78988349,2016
13,2713627.5695497743,2016
14,2722939.783799123,2016
15,2717620.3752838867,2016
16,2743263.573350317,2016
17,2720820.61798459,2016
18,2722542.7289337725,2016
19,2731814.513033304,2016
20,2730915.0760998055,2016
21,2742751.740784018,2016
22,2744797.216033253,2016
23,2699262.094333377,2016
